,Product_Name,Image_URL
0,Embroidered Bollywood Lycra Blend Saree,https://rukminim1.flixcart.com/image/329/395/kflftzk0-0/sari/o/y/c/free-hitesh2series-fumvel-unstitched-original-imafwypg4fwky3a7.jpeg?q=50
1,Color Block Bollywood Georgette Saree,https://rukminim1.flixcart.com/image/329/395/k5y7tzk0/sari/s/f/c/free-vs-198-p-leelavati-original-imafzgnpgcyxbhgw.jpeg?q=50
2,Embellished Bollywood Georgette Saree,https://rukminim1.flixcart.com/image/329/395/k7m8brk0/sari/y/p/q/free-mfs-66-black-mahalaxmi-fashion-unstitched-original-imafpt5nerdsufv8.jpeg?q=50
3,Printed Bandhani Georgette Saree,https://rukminim1.flixcart.com/image/329/395/xif0q/shopsy-sari/9/e/q/free-yellowfoil-manibhadra-creation-unstitched-original-imagh3my4sbzufpg.jpeg?q=50
4,Embellished Bollywood Georgette Saree,https://rukminim1.flixcart.com/image/329/395/kzygpzk0/sari/a/d/x/free-sequence-clemira-unstitched-original-imagbuq7nththegb.jpeg?q=50
5,"Printed, Floral Print Daily Wear Georgette Saree",https://rukminim1.flixcart.com/image/329/395/kynb6vk0/sari/0/v/v/free-1955s350-1926s306-1850s178-samah-unstitched-original-imagau5sf2cgch9t.jpeg?q=50
6,Embroidered Bollywood Net Saree,https://rukminim1.flixcart.com/image/329/395/kasjjww0/sari/v/9/y/free-n-gulzar-coffe-patlani-style-unstitched-original-imafsaakphexech7.jpeg?q=50
7,Woven Jamdani Cotton Blend Saree,https://rukminim1.flixcart.com/image/329/395/l30hmkw0/sari/p/o/r/free-dhakai-jamdani-lata-reshamdor-sarees-no-blouse-original-image87kuu9qeyuj.jpeg?q=50
8,Woven Bollywood Jacquard Saree,https://rukminim1.flixcart.com/image/329/395/l1pc3gw0/sari/k/g/q/free-bsp1625-banaras-silk-palace-unstitched-original-imagd7kkk39qhsrw.jpeg?q=50
9,Printed Bollywood Art Silk Saree,https://rukminim1.flixcart.com/image/329/395/k7c88sw0/sari/j/z/y/free-ladli-krishna-r-fashion-original-imafphxuxmkutnt8.jpeg?q=50
10,Woven Jamdani Cotton Blend Saree,https://rukminim1.flixcart.com/image/329/395/ktuewsw0/shopsy-sari/9/v/y/free-kumhari-veertejal-unstitched-original-imag73sxxz9dtj3p.jpeg?q=50
11,"Embellished Bollywood Silk Blend, Net Saree",https://rukminim1.flixcart.com/image/329/395/l30hmkw0/sari/v/q/h/free-dhakai-jamdani-lata-reshamdor-sarees-no-blouse-original-image87p2hfjf2kf.jpeg?q=50
12,Embellished Bollywood Lycra Blend Saree,https://rukminim1.flixcart.com/image/329/395/l37mtu80/sari/j/c/e/free-lycra-6-murthirupi-unstitched-original-imagee23buarnagn.jpeg?q=50
13,Printed Daily Wear Georgette Saree,https://rukminim1.flixcart.com/image/329/395/xif0q/sari/d/3/n/free-shailja-pink-krishna-r-fashion-unstitched-original-imagab2kdhyfrjny-bb.jpeg?q=50
14,"Floral Print Bollywood Chiffon, Brasso Saree",https://rukminim1.flixcart.com/image/329/395/kavefm80/sari/d/u/x/free-pack-of-7-1562-1080-1287-1338-1339-1341-1344-kashvi-sarees-original-imafsckeqjxwtdzy.jpeg?q=50
15,Woven Banarasi Jacquard Saree,https://rukminim1.flixcart.com/image/329/395/l5cslu80/sari/o/l/b/free-new2022-partywear-wedding-daily-wear-2022-simple-fancy-original-imaggfxqmba2arvg.jpeg?q=50
16,Woven Banarasi Jacquard Saree,https://rukminim1.flixcart.com/image/329/395/xif0q/sari/j/j/t/free-banarsi-saree-big-fashion-unstitched-original-imagj6z5bqmab5mj.jpeg?q=50
